OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,LICHT,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
1,1.17011E+18,1,0,55,12,2017,1,5,6,2,9,1,0,1,0,0,0,2,2,6.05079E+20,6.00176E+21,1.0609E+16,5.41532E+16
2,1.17011E+18,1,0,60,53,2017,1,6,6,3,6,2,0,0,1,0,1,2,1,5.82297E+20,5.96929E+21,1.02515E+16,5.38656E+16
3,1.17011E+18,1,0,61,11,2017,1,18,6,3,7,7,0,1,0,0,0,2,1,5.22799E+20,5.99058E+21,9.34834E+15,5.40629E+16
4,1.17011E+18,1,0,55,42,2017,1,12,7,3,5,3,1,1,0,0,0,0,0,6.16129E+20,5.98156E+21,1.07704E+16,5.39693E+16
5,1.17011E+18,1,0,62,60,2017,1,8,6,3,2,6,0,1,0,0,0,0,1,5.81576E+20,5.93491E+21,1.02315E+16,5.35567E+16
6,1.17011E+18,1,0,59,159,2017,1,8,7,3,2,6,0,1,0,0,1,0,2,5.28525E+20,6.05285E+21,9.44178E+15,5.46223E+16
7,1.1701E+18,1,0,60,39,2017,1,11,4,3,5,3,0,1,0,0,0,0,1,5.64367E+20,5.95963E+21,9.97686E+15,5.37812E+16
8,1.17012E+18,1,0,58,50,2017,1,5,1,3,9,1,0,0,0,0,1,2,2,5.60158E+20,6.01953E+21,9.92487E+15,5.43201E+16
9,1.1701E+18,1,0,3,0,2017,1,1,1,3,4,2,0,1,0,0,0,2,1,6.10786E+20,5.96776E+21,1.0684E+16,5.38466E+16
10,1.17012E+18,1,0,4,0,2017,1,7,2,3,9,2,0,1,0,0,0,2,1,5.64199E+20,5.99115E+21,9.98093E+15,5.40646E+16
11,1.1701E+18,1,0,60,34,2017,1,18,1,3,9,7,0,1,0,0,0,2,1,5.70032E+20,5.971E+21,1.00654E+16,5.38827E+16
12,1.17011E+18,1,0,57,5,2017,1,2,7,2,9,1,0,1,0,0,0,2,0,5.81916E+20,5.99753E+21,1.02533E+16,5.41194E+16
13,1.17012E+18,1,0,53,116,2017,1,10,2,3,0,7,0,0,0,1,0,0,1,5.98617E+20,5.92904E+21,1.04868E+16,5.35011E+16
14,1.1701E+18,1,0,57,74,2017,1,7,2,3,8,1,0,1,0,0,0,1,2,5.8123E+20,6.02265E+21,1.02496E+16,5.43452E+16
15,1.17011E+18,1,0,51,132,2017,1,22,7,3,4,1,0,1,0,0,0,2,2,4.90691E+20,6.00198E+21,8.85742E+15,5.41658E+16
16,1.17012E+18,1,0,2,0,2017,1,7,3,3,0,1,1,0,0,0,0,2,2,5.7108E+20,6.01635E+21,1.0092E+16,5.42901E+16
17,1.1701E+18,1,0,60,94,2017,1,7,2,3,8,1,0,1,0,0,0,2,2,5.70617E+20,5.95885E+21,1.00715E+16,5.37734E+16
18,1.17011E+18,1,0,59,75,2017,1,12,2,3,1,6,0,1,0,0,0,0,1,5.36276E+20,6.04092E+21,9.56035E+15,5.45146E+16
19,1.17011E+18,1,0,53,100,2017,1,17,2,3,2,6,0,1,0,0,0,2,1,6.17796E+20,5.95107E+21,1.07841E+16,5.3695E+16
20,1.17011E+18,1,0,54,95,2017,1,8,3,3,0,6,0,1,0,0,0,1,1,4.98092E+20,6.02272E+21,8.97064E+15,5.43523E+16
21,1.17011E+18,1,0,55,35,2017,1,7,5,2,8,1,0,1,0,0,1,2,2,6.13637E+20,5.98405E+21,1.07334E+16,5.39923E+16
22,1.17011E+18,1,0,58,49,2017,1,8,5,2,8,1,0,1,0,0,0,0,2,5.54438E+20,6.00958E+21,9.83514E+15,5.42313E+16
23,1.17011E+18,1,0,56,39,2017,1,14,5,3,3,2,1,0,0,0,1,0,1,5.52398E+20,5.94461E+21,9.7927E+15,5.36476E+16
24,1.17011E+18,1,0,2,0,2017,1,7,6,3,5,3,1,1,0,0,0,1,1,5.76199E+20,6.01718E+21,1.01708E+16,5.42968E+16
25,1.17011E+18,1,0,3,0,2017,1,19,6,3,0,7,1,0,0,0,0,2,2,6.10149E+20,5.96993E+21,1.06751E+16,5.38662E+16
26,1.17011E+18,1,0,60,95,2017,1,15,6,3,2,6,0,1,0,0,0,0,1,5.54764E+20,5.97333E+21,9.83358E+15,5.39055E+16
27,1.17011E+18,1,0,62,60,2017,1,20,2,3,5,2,0,1,0,0,0,2,0,5.83016E+20,5.92974E+21,1.02518E+16,5.35101E+16
28,1.17011E+18,1,0,54,91,2017,1,14,3,3,8,7,0,0,0,0,1,0,0,4.96095E+20,6.03927E+21,8.9397E+15,5.45011E+16
29,1.17011E+18,1,0,56,15,2017,1,15,3,3,6,6,1,0,1,0,0,0,0,5.43303E+20,5.95643E+21,9.65676E+15,5.37547E+16
30,1.17011E+18,1,0,2,0,2017,1,8,4,3,2,6,0,1,0,0,0,2,1,5.75145E+20,6.01884E+21,1.01551E+16,5.43119E+16
31,1.17011E+18,1,0,2,0,2017,1,6,6,2,6,2,0,0,1,0,1,2,1,5.73406E+20,6.01977E+21,1.01286E+16,5.43205E+16
32,1.17011E+18,1,0,55,4,2017,1,7,6,3,6,2,0,1,1,0,0,2,1,6.11234E+20,5.97521E+21,1.06935E+16,5.39133E+16
33,1.17011E+18,1,0,60,63,2017,1,14,6,3,8,1,0,1,0,0,0,0,1,5.63662E+20,5.94619E+21,9.9634E+15,5.36606E+16
34,1.17011E+18,1,0,4,0,2017,1,16,7,3,2,6,0,1,0,0,0,1,1,5.64086E+20,5.99025E+21,9.97902E+15,5.40565E+16
35,1.17011E+18,1,0,58,96,2017,1,12,6,2,6,4,0,1,1,0,0,0,0,5.61779E+20,6.02851E+21,9.95165E+15,5.44006E+16
36,1.17011E+18,1,0,51,82,2017,1,15,7,3,8,1,0,1,0,0,0,0,1,5.11395E+20,6.00377E+21,9.1746E+15,5.41818E+16
37,1.17011E+18,1,0,3,0,2017,1,11,7,3,8,1,0,1,0,0,0,0,2,6.12205E+20,5.96088E+21,1.0703E+16,5.37844E+16
38,1.17011E+18,1,0,54,33,2017,1,20,7,3,0,1,1,0,0,0,0,2,2,5.05865E+20,6.025E+21,9.09028E+15,5.43728E+16
39,1.1701E+18,1,0,60,14,2017,1,2,3,2,8,1,0,1,0,0,0,2,2,5.70247E+20,5.97467E+21,1.00695E+16,5.39157E+16
40,1.1701E+18,1,0,2,0,2017,1,15,4,3,5,2,1,1,0,0,0,0,0,5.77407E+20,6.02079E+21,1.01903E+16,5.43291E+16
41,1.17011E+18,1,0,1,0,2017,1,11,5,3,5,3,0,1,0,0,0,0,1,5.30561E+20,6.07293E+21,9.47542E+15,5.48026E+16
42,1.17011E+18,1,0,51,122,2017,1,19,7,3,8,7,0,1,0,0,0,2,2,5.05541E+20,6.00758E+21,9.08497E+15,5.42162E+16
43,1.17012E+18,1,0,1,0,2017,1,10,2,3,5,3,0,1,0,0,0,0,2,5.27354E+20,6.07164E+21,9.4254E+15,5.47912E+16
44,1.1701E+18,1,0,3,0,2017,1,6,1,3,0,7,1,0,0,0,0,2,0,6.10415E+20,5.97181E+21,1.06798E+16,5.38829E+16
45,1.17011E+18,1,0,59,145,2017,1,10,7,3,0,1,1,0,0,0,0,0,1,5.36651E+20,6.07173E+21,9.57001E+15,5.47915E+16
46,1.17012E+18,1,0,55,12,2017,1,7,2,3,5,3,1,1,0,0,0,2,0,6.05898E+20,5.9995E+21,1.06208E+16,5.41327E+16
47,1.1701E+18,1,0,59,183,2017,1,11,2,2,4,2,1,1,0,0,0,0,0,5.20891E+20,6.06913E+21,9.32471E+15,5.4769E+16
48,1.17011E+18,1,0,55,1,2017,1,17,7,3,8,1,0,1,0,0,0,2,2,6.03551E+20,5.99209E+21,1.05823E+16,5.40666E+16
49,1.1701E+18,1,0,3,0,2017,1,16,2,3,5,3,1,1,0,0,0,1,0,6.08665E+20,5.9681E+21,1.06519E+16,5.385E+16
50,1.17011E+18,1,0,58,40,2017,1,16,1,3,4,6,0,1,0,0,0,2,0,5.61138E+20,6.04677E+21,9.94555E+15,5.45647E+16
51,1.1701E+18,1,0,61,50,2017,1,5,2,3,1,5,0,1,0,0,0,2,1,5.41088E+20,5.95932E+21,9.62355E+15,5.37809E+16
52,1.17011E+18,1,0,3,0,2017,1,17,2,3,5,3,1,1,0,0,0,2,0,6.10692E+20,5.9683E+21,1.06828E+16,5.38514E+16
53,1.17012E+18,1,0,62,56,2017,1,2,1,3,2,6,0,1,0,0,1,2,1,5.90695E+20,5.95735E+21,1.03757E+16,5.37569E+16
54,1.17012E+18,1,0,54,76,2017,1,20,2,3,2,2,0,1,0,1,0,2,0,4.98497E+20,6.06919E+21,8.97663E+15,5.47699E+16
55,1.17012E+18,1,0,3,0,2017,1,13,2,3,1,6,0,1,0,0,0,0,0,6.11132E+20,5.96887E+21,1.06897E+16,5.38564E+16
56,1.1701E+18,1,0,54,109,2017,1,13,2,3,2,6,0,1,0,0,1,0,1,4.91913E+20,6.06835E+21,8.87432E+15,5.47623E+16
57,1.17011E+18,1,0,3,0,2017,1,10,7,3,2,6,0,1,0,0,1,0,2,6.11038E+20,5.96831E+21,1.0688E+16,5.38514E+16
58,1.17012E+18,1,0,62,71,2017,1,8,3,3,2,6,0,1,0,0,0,0,0,5.80617E+20,5.93884E+21,1.0218E+16,5.35922E+16
59,1.1701E+18,1,0,3,0,2017,1,13,2,3,4,6,0,1,0,1,0,0,0,6.1089E+20,5.96728E+21,1.06854E+16,5.38421E+16
60,1.17011E+18,1,0,58,9,2017,1,0,1,1,9,1,0,1,0,0,0,2,1,5.52414E+20,5.99415E+21,9.8014E+15,5.40929E+16
61,1.1701E+18,1,0,51,44,2017,1,9,2,2,0,1,1,0,0,0,0,0,2,5.0637E+20,6.00528E+21,9.09763E+15,5.41956E+16
62,1.17011E+18,1,0,55,4,2017,1,17,2,3,5,2,0,1,0,0,0,2,0,6.11438E+20,5.976E+21,1.06969E+16,5.39204E+16
63,1.17011E+18,1,0,1,0,2017,1,7,3,3,4,6,1,0,0,0,0,2,1,5.28262E+20,6.07069E+21,9.43944E+15,5.47827E+16
64,1.17011E+18,1,0,3,0,2017,1,15,3,3,3,6,0,1,0,0,1,0,0,6.1E+20,5.97148E+21,1.06734E+16,5.38801E+16
65,1.17011E+18,1,0,55,39,2017,1,6,5,3,9,1,0,1,0,0,0,2,1,6.16198E+20,5.99461E+21,1.07765E+16,5.40865E+16
66,1.17011E+18,1,0,59,159,2017,1,13,6,3,5,3,0,1,0,1,0,0,1,5.29029E+20,6.05757E+21,9.45005E+15,5.46647E+16
67,1.17011E+18,1,0,58,9,2017,1,18,6,3,8,1,0,1,0,0,0,2,2,5.49287E+20,5.98959E+21,9.75285E+15,5.40522E+16
68,1.17011E+18,1,0,3,0,2017,1,4,6,3,4,6,1,0,0,0,0,2,1,6.13078E+20,5.96979E+21,1.07196E+16,5.38642E+16
69,1.17011E+18,1,0,58,146,2017,1,17,7,3,2,6,0,1,0,0,0,2,0,5.49046E+20,6.01782E+21,9.75377E+15,5.43059E+16
70,1.17011E+18,1,0,61,11,2017,1,18,6,3,9,7,0,1,0,0,0,2,1,5.22804E+20,5.99057E+21,9.34841E+15,5.40629E+16
71,1.17011E+18,1,0,56,15,2017,1,17,6,3,6,2,0,1,1,0,0,2,0,5.42327E+20,5.95508E+21,9.64177E+15,5.37427E+16
72,1.17011E+18,1,0,61,11,2017,1,21,7,3,8,1,0,1,0,0,0,2,2,5.24343E+20,5.9899E+21,9.37187E+15,5.40568E+16
73,1.1701E+18,1,0,4,0,2017,1,18,3,3,5,2,0,1,0,0,0,2,1,5.63009E+20,5.99251E+21,9.96303E+15,5.40769E+16
74,1.1701E+18,1,0,55,39,2017,1,2,4,3,8,7,0,0,0,0,1,2,1,6.16386E+20,5.99617E+21,1.07799E+16,5.41005E+16
75,1.1701E+18,1,0,56,15,2017,1,18,4,3,2,6,0,1,0,0,0,2,0,5.42437E+20,5.9552E+21,9.64347E+15,5.37437E+16
76,1.17012E+18,1,0,3,0,2017,1,16,1,3,2,3,0,1,0,0,0,0,1,6.14139E+20,5.96885E+21,1.07353E+16,5.38556E+16
77,1.17012E+18,1,0,56,35,2017,1,1,1,3,8,1,0,1,0,0,0,2,2,5.50085E+20,5.96371E+21,9.7608E+15,5.38196E+16
78,1.17012E+18,1,0,4,0,2017,1,13,2,3,2,6,0,1,0,0,0,0,0,5.64636E+20,5.9918E+21,9.98774E+15,5.40704E+16
79,1.1701E+18,1,0,58,91,2017,1,13,2,3,2,6,0,1,0,0,0,0,0,5.62459E+20,5.99802E+21,9.95576E+15,5.41265E+16
80,1.17011E+18,1,0,57,66,2017,1,9,7,3,8,1,0,1,0,0,0,0,2,5.89362E+20,6.01659E+21,1.03728E+16,5.42894E+16
81,1.17012E+18,1,0,56,28,2017,1,11,2,3,1,5,0,1,0,0,0,0,1,5.44802E+20,5.94177E+21,9.67738E+15,5.36228E+16
82,1.1701E+18,1,0,57,25,2017,1,12,2,3,5,2,0,1,0,1,0,0,0,5.78306E+20,6.02541E+21,1.02054E+16,5.43705E+16
83,1.17011E+18,1,0,61,36,2017,1,13,7,3,9,1,0,1,0,0,0,0,2,5.47638E+20,5.98585E+21,9.72708E+15,5.40187E+16
84,1.1701E+18,1,0,56,48,2017,1,7,2,3,5,3,0,1,0,0,0,2,1,5.48453E+20,5.94852E+21,9.73362E+15,5.36832E+16
85,1.17011E+18,1,0,4,0,2017,1,14,2,3,2,6,0,1,0,0,0,0,0,5.65139E+20,5.99339E+21,9.99577E+15,5.40846E+16
86,1.17011E+18,1,0,56,15,2017,1,10,2,3,2,6,0,1,0,0,0,0,1,5.44388E+20,5.95732E+21,9.67335E+15,5.37626E+16
87,1.17011E+18,1,0,59,154,2017,1,6,5,3,8,7,0,1,0,0,0,2,2,5.60733E+20,6.06172E+21,9.94239E+15,5.46991E+16
88,1.17011E+18,1,0,4,0,2017,1,16,5,3,5,2,0,1,0,0,0,1,1,5.65211E+20,5.99127E+21,9.99642E+15,5.40655E+16
89,1.17011E+18,1,0,60,53,2017,1,20,5,3,8,1,0,1,0,0,0,2,2,5.79904E+20,5.97002E+21,1.02153E+16,5.38725E+16
90,1.17011E+18,1,0,58,9,2017,1,5,6,3,4,1,0,1,0,0,0,2,2,5.5101E+20,5.99028E+21,9.77929E+15,5.40582E+16
91,1.17011E+18,1,0,3,0,2017,1,14,6,3,2,6,0,1,0,0,0,0,1,6.09385E+20,5.97014E+21,1.06636E+16,5.38682E+16
92,1.17011E+18,1,0,3,0,2017,1,15,5,3,2,6,0,1,0,0,0,0,0,6.06761E+20,5.96951E+21,1.06235E+16,5.38631E+16
93,1.17011E+18,1,0,55,32,2017,1,13,6,3,2,6,0,1,0,0,0,0,0,6.17335E+20,5.99614E+21,1.07944E+16,5.41E+16
94,1.1701E+18,1,0,57,86,2017,1,22,3,3,7,7,0,1,0,0,0,2,1,5.76457E+20,6.00479E+21,1.01716E+16,5.41855E+16
95,1.1701E+18,1,0,56,2,2017,1,18,3,3,3,2,0,1,0,0,0,2,1,5.50677E+20,5.96262E+21,9.76961E+15,5.38097E+16
96,1.1701E+18,1,0,3,0,2017,1,11,4,3,5,2,1,1,0,0,0,0,1,6.12388E+20,5.96967E+21,1.0709E+16,5.38633E+16
97,1.17011E+18,1,0,58,9,2017,1,11,6,3,8,1,0,1,0,0,0,0,1,5.50841E+20,5.99513E+21,9.77751E+15,5.41018E+16
98,1.17011E+18,1,0,3,0,2017,1,14,6,3,2,6,0,1,0,0,0,0,1,6.09188E+20,5.97164E+21,1.06611E+16,5.38817E+16
99,1.17011E+18,1,0,56,15,2017,1,17,6,3,4,2,0,1,0,0,0,2,1,5.45178E+20,5.95585E+21,9.68512E+15,5.37493E+16
100,1.17011E+18,1,0,3,0,2017,1,16,5,3,1,5,1,1,0,0,0,0,0,6.10096E+20,5.97E+21,1.06743E+16,5.38668E+16
101,1.17011E+18,1,0,55,35,2017,1,0,7,3,8,1,0,1,0,0,0,2,2,6.12937E+20,5.97962E+21,1.0721E+16,5.39526E+16
102,1.17011E+18,1,0,3,0,2017,1,9,6,3,8,1,0,1,0,0,0,0,2,6.1076E+20,5.97153E+21,1.0685E+16,5.38804E+16
103,1.17011E+18,1,0,3,0,2017,1,12,7,3,8,1,0,1,0,0,0,0,2,6.10701E+20,5.96223E+21,1.06807E+16,5.37968E+16
104,1.1701E+18,1,0,2,0,2017,1,22,3,3,5,3,0,1,0,1,0,2,1,5.74872E+20,6.0185E+21,1.01508E+16,5.43088E+16
105,1.1701E+18,1,0,60,53,2017,1,6,3,3,8,1,0,1,0,0,0,2,2,5.79958E+20,5.96998E+21,1.02161E+16,5.38722E+16
106,1.1701E+18,1,0,62,9,2017,1,17,4,3,4,6,0,1,0,0,0,2,1,5.79531E+20,5.93677E+21,1.02011E+16,5.35737E+16
107,1.17011E+18,1,0,4,0,2017,1,5,5,3,0,3,1,1,0,0,0,2,2,5.64715E+20,5.99276E+21,9.98915E+15,5.4079E+16
108,1.17012E+18,1,0,55,6,2017,1,1,1,3,8,1,0,1,0,0,0,2,2,6.23728E+20,6.00664E+21,1.08964E+16,5.41929E+16
109,1.17012E+18,1,0,59,95,2017,1,12,2,3,5,2,0,1,0,0,1,0,0,5.52379E+20,6.05812E+21,9.81214E+15,5.46677E+16
110,1.17011E+18,1,0,59,158,2017,1,21,7,3,8,1,0,1,0,0,0,2,2,5.10996E+20,6.06853E+21,9.1709E+15,5.47639E+16
111,1.17012E+18,1,0,53,116,2017,1,14,2,3,2,6,0,1,0,0,1,0,0,5.98122E+20,5.92957E+21,1.04795E+16,5.35059E+16
112,1.1701E+18,1,0,59,19,2017,1,21,2,3,9,1,0,1,0,0,0,2,2,5.31926E+20,6.03665E+21,9.49269E+15,5.44764E+16
113,1.17011E+18,1,0,55,39,2017,1,13,7,3,0,1,1,0,0,0,0,0,2,6.16222E+20,5.99332E+21,1.07763E+16,5.4075E+16
114,1.1701E+18,1,0,3,0,2017,1,23,2,3,8,7,0,1,0,0,0,2,1,6.1094E+20,5.97298E+21,1.06882E+16,5.38934E+16
115,1.17011E+18,1,0,62,20,2017,1,14,1,2,0,1,1,0,0,0,0,1,2,5.92221E+20,5.93859E+21,1.03932E+16,5.3588E+16
116,1.17011E+18,1,0,51,127,2017,1,17,4,2,7,7,1,0,0,0,0,2,1,4.95177E+20,6.00707E+21,8.92604E+15,5.42116E+16
117,1.17011E+18,1,0,60,74,2017,1,6,5,3,8,1,0,0,0,0,1,2,1,5.83755E+20,5.97419E+21,1.0275E+16,5.39094E+16
118,1.17011E+18,1,0,57,62,2017,1,17,5,3,0,7,0,0,0,1,0,2,1,5.83194E+20,6.01048E+21,1.02764E+16,5.42355E+16
119,1.17011E+18,1,0,55,35,2017,1,18,5,3,5,3,1,1,0,0,0,2,1,6.12547E+20,5.98424E+21,1.07168E+16,5.39942E+16
120,1.17011E+18,1,0,1,0,2017,1,16,6,3,2,6,0,1,0,0,0,1,0,5.27878E+20,6.07168E+21,9.43357E+15,5.47915E+16
121,1.17011E+18,1,0,57,9,2017,1,21,5,3,4,6,0,1,0,0,0,2,2,5.96392E+20,5.99781E+21,1.04748E+16,5.41193E+16
122,1.17011E+18,1,0,3,0,2017,1,6,5,3,5,2,1,0,0,0,1,2,1,6.10299E+20,5.96992E+21,1.06774E+16,5.38661E+16
123,1.17011E+18,1,0,54,56,2017,1,11,6,3,2,6,0,1,0,0,0,0,1,5.05786E+20,6.03711E+21,9.08931E+15,5.44816E+16
124,1.17011E+18,1,0,55,38,2017,1,17,6,3,9,1,0,1,0,0,0,2,2,6.17602E+20,6.00612E+21,1.08024E+16,5.41896E+16
125,1.17011E+18,1,0,62,71,2017,1,7,6,3,2,6,0,1,0,0,0,0,2,5.80856E+20,5.9414E+21,1.02223E+16,5.36151E+16
126,1.17011E+18,1,0,58,5,2017,1,12,6,3,5,2,0,1,0,0,1,0,0,5.73878E+20,6.02776E+21,1.01378E+16,5.43922E+16
127,1.17011E+18,1,0,61,102,2017,1,18,6,3,2,6,0,1,0,0,0,2,0,5.28187E+20,5.97589E+21,9.4293E+15,5.39306E+16
128,1.1701E+18,1,0,59,113,2017,1,7,3,3,5,6,0,0,0,1,1,2,1,5.34756E+20,6.07579E+21,9.54102E+15,5.4828E+16
129,1.1701E+18,1,0,55,17,2017,1,11,3,2,8,1,0,1,0,0,0,0,1,6.33276E+20,6.02593E+21,1.10513E+16,5.43637E+16
130,1.1701E+18,1,0,2,0,2017,1,18,4,3,5,3,1,1,0,0,0,2,0,5.74136E+20,6.01774E+21,1.01393E+16,5.43021E+16
131,1.1701E+18,1,0,61,29,2017,1,10,4,3,6,4,0,1,1,0,0,0,1,5.28413E+20,5.9591E+21,9.43118E+15,5.37797E+16
132,1.17012E+18,1,0,51,81,2017,1,14,1,2,8,1,0,1,0,0,0,0,1,5.03114E+20,6.00658E+21,9.04774E+15,5.42073E+16
133,1.1701E+18,1,0,4,0,2017,1,6,1,3,9,1,0,1,0,0,0,2,1,5.64931E+20,5.99641E+21,9.99324E+15,5.41118E+16
134,1.1701E+18,1,0,56,5,2017,1,11,2,3,8,7,0,1,0,0,0,0,1,5.61931E+20,5.94682E+21,9.93733E+15,5.36664E+16
135,1.17011E+18,1,0,58,42,2017,1,9,7,3,9,1,0,0,0,0,1,0,2,5.62479E+20,6.05174E+21,9.96735E+15,5.46093E+16
136,1.17011E+18,1,0,62,56,2017,1,20,4,3,9,1,0,1,0,0,0,2,1,5.90962E+20,5.95777E+21,1.03798E+16,5.37606E+16
137,1.17011E+18,1,0,62,19,2017,1,22,4,3,7,7,0,1,0,0,0,2,1,5.823E+20,5.9626E+21,1.02497E+16,5.38054E+16
138,1.17011E+18,1,0,55,35,2017,1,7,5,3,8,1,0,1,0,0,0,2,2,6.1359E+20,5.98432E+21,1.07327E+16,5.39947E+16
139,1.17012E+18,1,0,62,1,2017,1,18,2,2,2,6,0,1,0,0,0,2,0,5.84194E+20,5.94434E+21,1.02735E+16,5.36411E+16
140,1.17012E+18,1,0,55,1,2017,1,4,2,1,9,1,0,1,0,0,0,2,1,6.00411E+20,5.9845E+21,1.05318E+16,5.3999E+16
141,1.1701E+18,1,0,54,38,2017,1,22,2,3,8,1,0,1,0,0,0,2,2,5.05285E+20,6.05881E+21,9.08196E+15,5.46766E+16
142,1.17011E+18,1,0,58,70,2017,1,9,7,3,8,1,0,1,0,0,0,0,2,5.34033E+20,6.00788E+21,9.52193E+15,5.42178E+16
143,1.17012E+18,1,0,61,29,2017,1,9,2,3,5,3,1,1,0,0,0,0,0,5.28374E+20,5.95987E+21,9.43066E+15,5.37866E+16
144,1.1701E+18,1,0,57,25,2017,1,19,2,1,4,6,0,1,0,0,0,2,2,5.80288E+20,6.02575E+21,1.0236E+16,5.43732E+16
145,1.17011E+18,1,0,54,160,2017,1,16,1,3,5,3,0,1,0,1,0,1,0,4.60238E+20,6.0535E+21,8.38411E+15,5.46274E+16
146,1.1701E+18,1,0,60,101,2017,1,16,2,3,5,3,0,1,0,0,1,1,1,5.80533E+20,5.97605E+21,1.02265E+16,5.39266E+16
147,1.17011E+18,1,0,58,64,2017,1,6,2,3,5,7,0,1,0,0,1,2,1,5.71442E+20,5.99892E+21,1.00934E+16,5.41334E+16
148,1.17011E+18,1,0,62,9,2017,1,7,3,3,2,6,0,1,0,0,0,2,0,5.81274E+20,5.93515E+21,1.0227E+16,5.35589E+16
149,1.17011E+18,1,0,53,125,2017,1,12,5,2,4,6,0,1,0,0,1,0,1,6.03592E+20,5.93663E+21,1.05643E+16,5.35683E+16
150,1.17011E+18,1,0,59,57,2017,1,17,5,2,4,6,0,1,0,0,1,2,1,5.33017E+20,6.04289E+21,9.51023E+15,5.45325E+16
151,1.17011E+18,1,0,3,0,2017,1,11,5,2,5,3,0,1,0,0,0,0,1,6.08778E+20,5.97187E+21,1.06549E+16,5.38839E+16
152,1.17011E+18,1,0,51,44,2017,1,8,5,3,5,2,1,1,0,0,0,1,1,5.07463E+20,6.00547E+21,9.1144E+15,5.41972E+16
153,1.17011E+18,1,0,4,0,2017,1,7,6,3,2,6,0,1,0,0,0,2,2,5.63945E+20,5.99093E+21,9.977E+15,5.40627E+16
154,1.17011E+18,1,0,62,4,2017,1,16,5,3,6,4,0,1,1,0,0,1,0,5.90089E+20,5.9632E+21,1.03682E+16,5.38096E+16
155,1.1701E+18,1,0,2,0,2017,1,21,3,3,5,3,0,1,0,0,0,2,1,5.71542E+20,6.02061E+21,1.01001E+16,5.43283E+16
156,1.1701E+18,1,0,60,19,2017,1,19,3,3,9,1,0,1,0,0,0,2,1,5.61567E+20,5.95827E+21,9.93411E+15,5.37694E+16
157,1.1701E+18,1,0,60,63,2017,1,19,4,3,6,7,0,1,1,0,0,2,0,5.65258E+20,5.94852E+21,9.98804E+15,5.36813E+16
158,1.17012E+18,1,0,59,77,2017,1,22,1,3,8,1,0,1,0,0,0,2,1,5.31749E+20,6.04198E+21,9.49054E+15,5.45244E+16
159,1.17012E+18,1,0,2,0,2017,1,12,2,3,5,2,1,1,0,0,0,0,0,5.74126E+20,6.01875E+21,1.01394E+16,5.43113E+16
160,1.1701E+18,1,0,56,15,2017,1,21,1,3,5,3,0,1,0,0,0,2,1,5.43501E+20,5.95582E+21,9.65968E+15,5.37492E+16
161,1.17011E+18,1,0,2,0,2017,1,10,7,3,2,6,0,1,0,0,0,0,2,5.75146E+20,6.01884E+21,1.01551E+16,5.43119E+16
162,1.1701E+18,1,0,2,0,2017,1,17,2,3,2,6,0,1,0,0,0,2,1,5.73252E+20,6.0185E+21,1.01259E+16,5.43091E+16
163,1.17011E+18,1,0,62,1,2017,1,11,7,3,2,6,0,1,0,0,0,0,2,5.82318E+20,5.94722E+21,1.02459E+16,5.36673E+16
164,1.17011E+18,1,0,54,11,2017,1,5,2,3,9,1,0,1,0,0,0,2,1,5.1388E+20,6.04648E+21,9.21467E+15,5.45657E+16
165,1.17011E+18,1,0,58,9,2017,1,16,4,3,8,1,0,0,0,0,1,1,1,5.55457E+20,5.99169E+21,9.84748E+15,5.40704E+16
166,1.17011E+18,1,0,61,83,2017,1,9,5,2,8,1,0,1,0,0,0,0,2,5.32235E+20,5.98152E+21,9.49155E+15,5.3981E+16
167,1.17011E+18,1,0,60,96,2017,1,5,5,3,3,6,0,1,0,0,0,2,2,5.91961E+20,5.9753E+21,1.04002E+16,5.3918E+16
168,1.17011E+18,1,0,4,0,2017,1,8,5,2,5,2,1,1,0,0,0,0,1,5.62483E+20,5.99075E+21,9.95463E+15,5.40612E+16
169,1.17011E+18,1,0,62,45,2017,1,14,5,3,2,2,0,1,0,0,0,0,1,5.90002E+20,5.945E+21,1.03616E+16,5.3646E+16
170,1.1701E+18,1,0,59,116,2017,1,16,3,3,5,3,0,1,0,0,0,2,1,5.36503E+20,6.06367E+21,9.56669E+15,5.4719E+16
171,1.1701E+18,1,0,3,0,2017,1,16,3,3,4,6,0,1,0,0,0,2,1,6.09449E+20,5.97035E+21,1.06646E+16,5.387E+16
172,1.17011E+18,1,0,58,80,2017,1,10,6,2,8,1,0,1,0,0,0,0,0,5.558E+20,6.02795E+21,9.85945E+15,5.43963E+16
173,1.1701E+18,1,0,1,0,2017,1,16,3,3,2,6,0,1,0,0,0,2,1,5.26424E+20,6.0721E+21,9.41099E+15,5.47954E+16
174,1.1701E+18,1,0,3,0,2017,1,17,3,3,0,3,1,1,0,0,0,2,1,6.10108E+20,5.96993E+21,1.06745E+16,5.38661E+16
175,1.1701E+18,1,0,2,0,2017,1,16,4,3,3,6,0,1,0,0,1,1,1,5.73843E+20,6.02042E+21,1.01354E+16,5.43263E+16
