OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,LICHT,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
109441,7.17113E+18,7,3,31,3,2017,11,22,7,3,2,1,0,1,0,0,0,2,1,4.33203E+20,5.51124E+21,8.07275E+15,4.97499E+16
109442,7.17113E+18,7,3,31,1,2017,11,18,7,3,5,3,0,1,0,0,0,2,0,4.37187E+20,5.51597E+21,8.12729E+15,4.97929E+16
109443,7.17113E+18,7,3,31,3,2017,11,11,7,3,5,3,0,1,0,0,0,0,1,4.36861E+20,5.51052E+21,8.12364E+15,4.97438E+16
109444,7.17121E+18,7,1,43,74,2017,12,18,7,3,5,3,0,1,0,0,0,2,2,4.25034E+20,5.59022E+21,7.94387E+15,5.04592E+16
109445,7.17113E+18,7,3,15,0,2017,11,16,7,3,5,3,1,1,0,0,0,2,0,4.4457E+20,5.54186E+21,8.22613E+15,5.00265E+16
109446,7.17113E+18,7,3,15,0,2017,11,15,7,3,3,6,0,1,0,0,0,0,0,4.44147E+20,5.54181E+21,8.22023E+15,5.0026E+16
109447,7.17113E+18,7,3,15,0,2017,11,5,7,3,6,4,0,1,1,0,0,2,1,4.4647E+20,5.53863E+21,8.2531E+15,4.99976E+16
109448,7.17113E+18,7,2,32,296,2017,11,19,7,3,9,1,0,0,0,0,1,2,1,3.12833E+20,5.56279E+21,6.37799E+15,5.01877E+16
109449,7.17113E+18,7,2,32,302,2017,11,4,7,3,8,1,0,1,0,0,0,2,1,3.15683E+20,5.57426E+21,6.4123E+15,5.02917E+16
109450,7.17122E+18,7,3,34,9,2017,12,17,4,3,9,1,0,1,0,0,0,2,1,4.44237E+20,5.44123E+21,8.23575E+15,4.91214E+16
109451,7.17122E+18,7,1,38,45,2017,12,21,5,3,4,6,0,1,0,0,0,2,1,3.91587E+20,5.5936E+21,7.47182E+15,5.04844E+16
109452,7.17113E+18,7,2,11,0,2017,11,8,7,3,8,1,0,1,0,0,0,0,1,3.34526E+20,5.52097E+21,6.69963E+15,4.98183E+16
109453,7.17122E+18,7,1,40,133,2017,12,13,2,3,8,1,0,1,0,0,0,0,1,4.09751E+20,5.5539E+21,7.73729E+15,5.01304E+16
109454,7.17121E+18,7,1,38,65,2017,12,12,7,3,4,6,0,1,0,0,0,0,2,3.87161E+20,5.60317E+21,7.40656E+15,5.05695E+16
109455,7.17121E+18,7,1,32,6,2017,12,22,7,3,5,6,0,1,0,0,0,2,2,4.19776E+20,5.62671E+21,7.8619E+15,5.07866E+16
109456,7.17121E+18,7,1,32,115,2017,12,14,7,3,4,6,0,1,0,0,0,0,2,3.97376E+20,5.62107E+21,7.54581E+15,5.07324E+16
109457,7.17121E+18,7,1,32,40,2017,12,13,7,3,9,1,0,1,0,0,0,0,2,4.07128E+20,5.6137E+21,7.6858E+15,5.06677E+16
109458,7.17121E+18,7,1,32,96,2017,12,13,7,3,3,1,0,1,0,0,0,0,2,4.08811E+20,5.62473E+21,7.70688E+15,5.07671E+16
109459,7.17121E+18,7,1,35,20,2017,12,18,7,3,6,2,0,1,1,0,0,2,0,3.69047E+20,5.55682E+21,7.16703E+15,5.01492E+16
109460,7.17121E+18,7,1,11,0,2017,12,22,7,2,2,6,0,1,0,0,0,2,1,3.9678E+20,5.58311E+21,7.54788E+15,5.0391E+16
109461,7.17121E+18,7,1,11,0,2017,12,17,7,3,3,7,0,1,0,0,0,2,0,3.9868E+20,5.58077E+21,7.57524E+15,5.03703E+16
109462,7.17121E+18,7,1,43,47,2017,12,9,7,3,3,1,0,1,0,0,1,0,2,4.11406E+20,5.59329E+21,7.75119E+15,5.04849E+16
109463,7.17122E+18,7,1,32,501,2017,12,7,5,2,4,2,0,1,0,0,0,2,1,4.03097E+20,5.61611E+21,7.62815E+15,5.06888E+16
109464,7.17121E+18,7,3,40,54,2017,12,13,6,2,1,7,0,1,0,0,0,0,1,4.00991E+20,5.45971E+21,7.63863E+15,4.92821E+16
109465,7.17122E+18,7,3,31,23,2017,12,12,5,3,8,1,0,1,0,0,0,0,1,4.42365E+20,5.50188E+21,8.20129E+15,4.96667E+16
109466,7.17121E+18,7,3,40,38,2017,12,18,6,3,8,1,0,1,0,0,0,2,1,4.03278E+20,5.45427E+21,7.67138E+15,4.92336E+16
109467,7.17122E+18,7,1,31,202,2017,12,7,6,3,2,6,0,1,0,0,0,2,1,3.77601E+20,5.59086E+21,7.27567E+15,5.0457E+16
109468,7.17122E+18,7,3,15,0,2017,12,17,6,3,0,1,0,0,0,1,0,2,1,4.46701E+20,5.53865E+21,8.25633E+15,4.99978E+16
109469,7.17122E+18,7,3,35,45,2017,12,9,6,2,9,1,0,1,0,0,0,0,1,4.05711E+20,5.47004E+21,7.70106E+15,4.93758E+16
109470,7.17121E+18,7,3,17,0,2017,12,11,6,3,5,2,0,1,0,0,1,0,1,3.97855E+20,5.45216E+21,7.59745E+15,4.92137E+16
109471,7.17122E+18,7,3,15,0,2017,12,16,7,3,5,3,0,1,0,0,0,0,1,4.44219E+20,5.54178E+21,8.22125E+15,5.00257E+16
109472,7.17121E+18,7,3,12,0,2017,12,21,6,3,1,6,0,1,0,0,0,2,1,4.09373E+20,5.47778E+21,7.74974E+15,4.94459E+16
109473,7.17113E+18,7,2,35,111,2017,11,18,7,3,9,1,0,1,0,0,0,2,1,3.20859E+20,5.5201E+21,6.51021E+15,4.98066E+16
109474,7.17121E+18,7,3,32,6,2017,12,5,6,3,9,1,0,1,0,0,0,2,1,4.40399E+20,5.49361E+21,8.17532E+15,4.95922E+16
109475,7.17113E+18,7,1,43,269,2017,11,14,7,3,9,1,0,1,0,0,0,0,1,4.15131E+20,5.61414E+21,7.79893E+15,5.0673E+16
109476,7.17121E+18,7,3,32,2,2017,12,7,6,2,5,3,0,1,0,0,1,1,1,4.37727E+20,5.47903E+21,8.14065E+15,4.94607E+16
109477,7.17121E+18,7,3,34,5,2017,12,23,6,2,9,1,0,1,0,0,0,2,1,4.39107E+20,5.43342E+21,8.16663E+15,4.90506E+16
