OBJECTID_1,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
203292,11,0,2,2,2018,7,9,2,3,2,2,0,1,1,0,0,0,0,0,8.01248E+20,5.82782E+21,1.34406E+16,5.2517E+16
203293,11,0,5,5,2018,7,17,2,3,0,6,0,0,1,0,0,0,1,0,7.83606E+20,5.82867E+21,1.31821E+16,5.25341E+16
203294,11,0,10,10,2018,7,18,4,3,2,6,0,0,1,0,0,0,0,0,8.12217E+20,5.83068E+21,1.36044E+16,5.25365E+16
203295,11,0,1,1,2018,7,22,6,3,0,1,2,0,1,0,1,0,0,0,7.94748E+20,5.82622E+21,1.33437E+16,5.25063E+16
203296,11,0,2,2,2018,7,0,4,2,6,4,2,0,1,1,0,0,0,0,7.98305E+20,5.82481E+21,1.33947E+16,5.24917E+16
203297,11,0,6,6,2018,7,18,6,3,3,2,0,0,1,0,0,1,0,0,7.9472E+20,5.82003E+21,1.33378E+16,5.24508E+16
203298,11,0,3,3,2018,7,15,2,3,5,3,0,1,1,0,0,0,0,0,8.01493E+20,5.83901E+21,1.34544E+16,5.26172E+16
203299,11,0,7,7,2018,7,17,6,3,5,7,0,1,1,0,0,0,0,0,7.96423E+20,5.82489E+21,1.33671E+16,5.24935E+16
203300,11,0,1,1,2018,7,8,4,3,5,2,0,1,1,0,0,0,0,0,7.97663E+20,5.83188E+21,1.33916E+16,5.25554E+16
203301,11,0,7,7,2018,7,17,6,3,5,3,0,0,1,0,1,0,0,0,7.97148E+20,5.82217E+21,1.33753E+16,5.24687E+16
203302,11,0,1,1,2018,7,18,2,3,1,5,0,1,1,0,0,0,0,0,7.97098E+20,5.82819E+21,1.338E+16,5.25226E+16
203303,11,0,2,2,2018,7,19,2,3,5,3,0,1,1,0,0,0,0,0,8.00311E+20,5.82761E+21,1.34267E+16,5.25157E+16
203304,11,0,2,2,2018,7,16,6,3,5,3,0,0,1,0,1,0,0,0,8.01249E+20,5.82783E+21,1.34407E+16,5.25172E+16
203305,11,0,7,7,2018,7,9,4,3,0,7,0,0,0,0,1,0,0,1,7.95045E+20,5.82434E+21,1.33464E+16,5.24892E+16
203306,11,0,7,7,2018,7,16,6,3,2,2,0,0,1,0,0,0,0,0,7.9769E+20,5.81877E+21,1.33803E+16,5.24379E+16
203307,11,0,9,9,2018,7,17,2,3,6,4,0,1,0,1,0,0,0,0,8.11E+20,5.82176E+21,1.35782E+16,5.24573E+16
203308,11,0,12,12,2018,7,15,6,3,5,7,0,0,1,0,0,0,0,0,7.93176E+20,5.83231E+21,1.3326E+16,5.25617E+16
203309,11,0,1,1,2018,7,21,2,3,6,4,2,0,0,1,0,0,1,0,7.96345E+20,5.83194E+21,1.33723E+16,5.25567E+16
203310,11,0,4,4,2018,7,8,4,3,5,3,0,1,1,0,0,0,0,0,7.92254E+20,5.82669E+21,1.33075E+16,5.25119E+16
203311,11,0,4,4,2018,7,15,6,3,5,5,0,0,1,0,1,0,0,0,7.92261E+20,5.82234E+21,1.33038E+16,5.24728E+16
203312,11,0,1,1,2018,7,9,4,3,2,6,0,1,0,0,0,0,1,0,7.99157E+20,5.82898E+21,1.34109E+16,5.25286E+16
203313,11,0,3,3,2018,7,19,2,3,5,2,0,0,1,0,1,0,0,0,7.99287E+20,5.83521E+21,1.34185E+16,5.25843E+16
203314,11,0,3,3,2018,7,20,2,3,5,3,0,0,1,0,0,0,0,0,8.00031E+20,5.83202E+21,1.34265E+16,5.25554E+16
203315,11,0,3,3,2018,7,21,6,3,4,6,2,1,1,0,0,0,0,0,8.02552E+20,5.83875E+21,1.34697E+16,5.26143E+16
203316,11,0,9,9,2018,7,10,4,3,5,2,0,0,1,0,1,0,0,0,8.06081E+20,5.82343E+21,1.35076E+16,5.2475E+16
203317,11,0,4,4,2018,7,19,6,3,2,6,0,0,1,0,0,0,0,0,7.93824E+20,5.82672E+21,1.33306E+16,5.25112E+16
203318,11,0,1,1,2018,7,19,2,3,1,5,0,1,0,0,0,0,1,0,7.99514E+20,5.82737E+21,1.34147E+16,5.25139E+16
203319,11,0,4,4,2018,7,19,6,3,5,3,1,1,0,0,0,0,0,0,7.91136E+20,5.82281E+21,1.32876E+16,5.24776E+16
203320,11,0,6,6,2018,7,16,2,3,5,3,0,0,1,0,0,0,0,0,7.92858E+20,5.81647E+21,1.33074E+16,5.24198E+16
203321,11,0,6,6,2018,7,12,4,3,2,6,0,0,1,0,0,0,0,0,7.9017E+20,5.81526E+21,1.32669E+16,5.24104E+16
203322,11,0,4,4,2018,7,18,6,3,8,1,0,0,1,0,0,0,0,0,7.90334E+20,5.8273E+21,1.32798E+16,5.25183E+16
203323,11,0,5,5,2018,7,15,2,3,2,6,0,0,1,0,0,0,0,0,7.8454E+20,5.828E+21,1.31952E+16,5.25276E+16
203324,11,0,4,4,2018,7,14,2,3,3,6,0,1,0,0,0,0,0,0,7.91688E+20,5.82782E+21,1.33001E+16,5.25222E+16
203325,11,0,6,6,2018,7,12,4,3,5,3,0,0,1,0,0,0,0,0,7.84801E+20,5.8176E+21,1.31902E+16,5.24342E+16
